year,state,west,midwest,northeast,southeast,southwest,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm,Cost,Avg_Tmp,Min_Tmp,Max_Tmp,Precip,Avg_Elevation,Unemployment,Population,Size,GDP,Inflation_Rate,Personal Income
1982,MT,1,0,0,0,0,0,0,0,0,0,0,0,0,40.5,29.1,52,21.26,800,8.608333333,803986,147042,10206,0.0613,8544
1982,NC,0,0,0,1,0,0,0,0,0,0,0,1,100,58.8,48.2,69.5,49.65,300,9.241666667,6019101,53818,68971,0.0613,58450
1982,ND,0,1,0,0,0,0,0,0,0,0,0,1,100,40,29.1,51,20.87,3400,5.591666667,668972,70700,9954,0.0613,7364
1982,NE,0,1,0,0,0,0,0,0,1,0,0,0,100,48.1,36.2,60,27.37,700,5.5,1581780,77358,21265,0.0613,17970
1982,NH,0,0,1,0,0,0,0,0,0,0,0,1,100,43,31.7,54.2,40.35,1900,6.866666667,947719,9350,11407,0.0613,11352
1982,NJ,0,0,1,0,0,0,0,0,0,0,0,1,100,52.2,42,62.3,38.82,2600,8.708333333,7430968,8722,105759,0.0613,104009
1982,NM,0,0,0,0,1,0,0,0,0,0,0,0,0,52.5,38.3,66.7,15.29,1000,9.033333333,1363823,121589,19242,0.0613,13524
1982,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,48.6,36.3,60.8,14.14,250,10.05,881537,110560,13885,0.0613,11551
1982,NY,0,0,1,0,0,0,0,0,0,0,0,1,100,45.2,34.9,55.5,36.65,5700,8.7,17589738,54556,282227,0.0613,234315
1982,OH,0,1,0,0,0,0,0,0,2,0,0,1,250,51.1,40.8,61.3,34.96,5500,12.575,10757087,44825,134636,0.0613,123385
1982,OK,0,0,0,0,1,0,0,0,2,0,0,1,250,59.2,47.5,70.9,34.37,1000,6.075,3206123,69899,49317,0.0613,37884
1982,OR,1,0,0,0,0,0,0,0,0,0,0,0,0,46,35.4,56.5,37.74,850,11.35833333,2664922,98380,31594,0.0613,29622
1982,PA,0,0,1,0,0,0,0,0,1,0,0,1,250,48.7,38.3,59.1,36.64,1300,10.9,11845146,46056,142077,0.0613,#N/A
1982,PR,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,3300,#N/A,#N/A,#N/A,#N/A,0.0613,#N/A
1982,RI,0,0,1,0,0,0,0,0,0,0,0,1,100,49.3,39.9,58.8,47.89,1100,9.991666667,954170,1545,11420,0.0613,11011
1982,SC,0,0,0,1,0,0,0,0,1,0,0,1,100,62.7,51.9,73.6,49.44,#N/A,10.775,3207614,32020,32353,0.0613,29119
1982,SD,0,1,0,0,0,0,0,0,0,0,0,0,0,44.8,33.2,56.3,24.51,200,5.425,690597,77121,7709,0.0613,6868
1982,TN,0,0,0,0,1,0,0,0,1,0,0,1,250,57.9,47,68.8,53,350,11.675,4646041,42144,52045,0.0613,#N/A
1982,TX,0,0,0,0,1,0,0,0,2,0,0,1,1000,64.5,52.6,76.3,27.2,2200,6.9,15331415,268580,260085,0.0613,183446
1982,UT,1,0,0,0,0,0,0,0,0,0,0,0,0,46.8,35.1,58.5,17.12,900,8.108333333,1558314,84898,18365,0.0613,15509
1982,VA,0,0,0,0,1,0,0,0,0,0,0,1,100,55.2,44.4,65.9,43.26,1700,7.408333333,5492783,42774,71465,0.0613,66437
1982,VI,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,6100,#N/A,#N/A,#N/A,#N/A,0.0613,#N/A
1982,VT,0,0,1,0,0,0,0,0,0,0,0,1,100,42.3,31.2,53.4,38.62,950,6.85,519109,9615,5755,0.0613,5359
1982,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,46.1,36.5,55.8,47.53,#N/A,11.63333333,4276552,71300,62933,0.0613,53177
1982,WI,0,1,0,0,0,0,0,0,1,0,0,1,100,42.7,32.7,52.7,35.82,1000,10.31666667,4728870,65498,59488,0.0613,54727
1982,WV,0,0,0,0,1,0,0,0,1,0,0,1,#N/A,52.1,41,63.1,42.31,1700,14.04166667,1949604,24230,20511,0.0613,18209
1982,WY,1,0,0,0,0,0,0,0,0,0,0,0,0,40.6,28.5,52.7,18.82,1050,5.966666667,506400,97813,12422,0.0613,6759
1983,AK,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,1500,10.1,488417,663267,22591,0.0321,9203
1983,AL,0,0,0,1,0,1,1,1,0,0,0,0,500,61,49.6,72.5,70.08,6700,13.81666667,3934102,52419,45679,0.0321,38442
1983,AR,0,0,0,1,0,1,1,1,0,0,0,0,5000,58.5,47.6,69.4,47.05,1900,9.7,2305761,53179,25292,0.0321,21818
1983,AZ,0,0,0,0,1,0,1,0,0,0,0,0,1000,59.2,46,72.3,18.14,500,9.108333333,2968925,113998,39774,0.0321,34529
1983,CA,1,0,0,0,0,0,1,0,0,0,0,0,5000,57.7,46.5,68.8,36.86,650,9.825,25360026,163695,426143,0.0321,36816
1983,CO,1,0,0,0,0,0,0,1,0,0,0,0,100,43.7,30.9,56.4,21.97,4100,7.116666667,3133630,104093,50718,0.0321,42423
1983,CT,0,0,1,0,0,0,0,1,0,0,0,0,100,49,38.8,59.3,60.22,2900,6.008333333,3162354,5544,55528,0.0321,49765
1983,DC,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,6800,#N/A,632433,#N/A,#N/A,0.0321,#N/A
1983,DE,0,0,1,0,0,0,0,1,0,0,0,0,100,54.4,44.4,64.3,54.12,500,7.9,605458,2489,10611,0.0321,8154
1983,FL,0,0,0,1,0,0,1,1,0,0,0,0,5000,69.3,58.9,79.6,62.89,#N/A,8.641666667,10749851,65755,136768,0.0321,135878
1983,GA,0,0,0,1,0,1,0,1,0,0,0,0,1000,62,50.4,73.5,57,60,7.641666667,5728250,59425,76738,0.0321,62192
1983,HI,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,100,5.9,1012717,10931,17260,0.0321,14059
1983,IA,0,1,0,0,0,0,0,1,0,0,0,0,100,47.2,37.5,56.8,36.33,600,8.233333333,2870543,56271,37481,0.0321,33093
1983,ID,1,0,0,0,0,0,1,1,0,0,0,0,100,42.2,31.5,52.9,30.59,3030,9.075,981869,83570,11834,0.0321,10143
1983,IL,0,1,0,0,0,0,0,1,0,0,0,0,250,51.4,41.5,61.3,41.37,1100,11.70833333,11408818,57914,173119,0.0321,153105
1983,IN,0,1,0,0,0,0,0,1,0,0,0,0,250,51.1,40.8,61.4,40.49,5000,11.1,5450395,36418,69335,0.0321,60956
1983,KS,0,1,0,0,0,0,0,1,0,0,0,0,100,52.8,41.3,64.4,26.16,600,5.891666667,2415531,82276,35257,0.0321,30134
1983,KY,0,0,0,1,0,1,0,1,0,0,0,0,2000,54.6,43.6,65.6,47.49,700,11.26666667,3694484,40410,44092,0.0321,36432
1983,LA,0,0,0,1,0,1,1,1,0,0,0,0,5000,64.1,53.5,74.6,67.29,2000,11.55,4395316,51840,76881,0.0321,47781
